# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	66286
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
bei ju 	被拒	c=1 d=0.970446 t=66286
bei jue de 	被覺得	c=1 d=0.99005 t=66286
bei li 	背離	c=1 d=0.790571 t=66286
bei lu 	北路	c=1 d=1.77002e-42 t=66286
bei men 	北門	c=2 d=1.50909e-69 t=66286
bei mian 	背面	c=1 d=5.34481e-72 t=66286
bei ni 	被你	c=2 d=0.548812 t=66286
bei ren 	被人	c=1 d=0.000139144 t=66286
bei shuo 	被說	c=3 d=4.1477e-30 t=66286
bei su 	倍速	c=2 d=0.000706632 t=66286
bei ta 	被他	c=0 d=4.33418e-19 t=66286
bei wo 	被我	c=1 d=3.94663e-63 t=66286
bei wo 	被窩	c=1 d=0.995012 t=66286
bei xin 	背心	c=1 d=5.05379e-31 t=66286
bei yong 	備用	c=12 d=2.45021 t=66286
bei yong ji 	備用機	c=12 d=1.63593 t=66286
bei yuan 	備援	c=1 d=0.329559 t=66286
bei zhan 	北站	c=1 d=7.12619e-15 t=66286
bei zhu 	備註	c=4 d=1.04156e-06 t=66286
bei zhua 	被抓	c=2 d=0.985112 t=66286
bei zi 	杯子	c=2 d=1.10911e-27 t=66286
bei zi 	被子	c=1 d=1.02336e-07 t=66286
bei zi 	輩子	c=2 d=1.66614e-06 t=66286
ben 	本	c=3 d=0.951229 t=66286
ben 	笨	c=12 d=2.19683 t=66286
ben bu 	本部	c=1 d=2.67918e-06 t=66286
ben dan 	笨蛋	c=9 d=2.54319 t=66286
ben di 	本地	c=29 d=3.37103 t=66286
ben di 	笨的	c=1 d=0.88692 t=66286
ben di bao 	本地宝	c=1 d=3.85927e-35 t=66286
ben di hua 	本地化	c=1 d=1.69588e-67 t=66286
ben fu 	奔赴	c=2 d=2.64729e-63 t=66286
ben ji 	本機	c=3 d=0.895834 t=66286
ben jia 	本家	c=6 d=1.16439 t=66286
ben jiu 	本就	c=1 d=6.19501e-44 t=66286
ben jiu gai 	本就該	c=1 d=1.25092e-75 t=66286
ben jiu shi 	本就是	c=3 d=0.856415 t=66286
ben ke 	本科	c=5 d=7.79862e-17 t=66286
ben lai 	本來	c=17 d=2.32032 t=66286
ben lai jiu 	本來就	c=6 d=6.85376e-27 t=66286
ben lai jiu shi 	本來就是	c=2 d=1.10209e-26 t=66286
ben lai xiang 	本來想	c=1 d=0.423162 t=66286
ben pao 	奔跑	c=1 d=1.62911e-65 t=66286
ben qu 	奔去	c=1 d=7.36174e-74 t=66286
ben ren 	本人	c=1 d=1.5837e-56 t=66286
ben shen 	本身	c=3 d=4.37848e-20 t=66286
ben shi 	本事	c=1 d=1 t=66286
ben si 	笨死	c=3 d=1.34788 t=66286
ben si ni 	笨死你	c=1 d=0.856415 t=66286
ben ti 	本體	c=2 d=2.68222e-66 t=66286
ben yue 	本月	c=1 d=0.000652304 t=66286
ben zhi 	本質	c=1 d=2.03206e-77 t=66286
ben zi 	本子	c=6 d=1.60957 t=66286
beng 	綳	c=15 d=5.67981 t=66286
beng 	繃	c=2 d=0.582748 t=66286
beng bu zhu 	蚌埠住	c=1 d=0.465334 t=66286
beng bu zhu le 	蚌埠住了	c=4 d=0.790571 t=66286
beng kui 	崩潰	c=1 d=0.565525 t=66286
beng le 	崩了	c=0 d=6.16286e-72 t=66286
beng le wo 	崩了我	c=1 d=6.19376e-71 t=66286
bi 	幣	c=2 d=0.994255 t=66286
bi 	避	c=2 d=2.41484e-11 t=66286
bi 	閉	c=2 d=6.44214e-63 t=66286
bi an ka 	比安卡	c=1 d=1 t=66286
bi bi 	比比	c=1 d=3.25361e-56 t=66286
bi bu shang 	比不上	c=1 d=0.755784 t=66286
bi ci 	彼此	c=1 d=1.57179e-26 t=66286
bi dian 	筆電	c=3 d=2.601 t=66286
bi ding 	必定	c=8 d=1.3661 t=66286
bi hu 	庇護	c=1 d=4.81484e-20 t=66286
bi huan 	閉環	c=1 d=0.806541 t=66286
bi ji 	筆記	c=1 d=1 t=66286
bi ji ben 	筆記本	c=18 d=2.58744 t=66286
bi ji ben dian nao 	筆記本電腦	c=7 d=4.40545e-33 t=66286
bi jiao 	比較	c=11 d=2.56934 t=66286
bi jing 	畢竟	c=48 d=5.63562 t=66286
bi lei 	避雷	c=1 d=7.17434e-06 t=66286
bi li 	比例	c=3 d=8.5907e-08 t=66286
bi li bi li 	哔哩哔哩	c=3 d=1.97521 t=66286
bi mian 	避免	c=3 d=1.51949 t=66286
bi ni 	比擬	c=1 d=0.548812 t=66286
bi qi 	比起	c=14 d=2.9976 t=66286
bi qi lai 	比起來	c=2 d=5.07912e-31 t=66286
bi qi na ge 	比起那个	c=3 d=1.18435e-43 t=66286
bi qi shuo shi 	比起說是	c=1 d=0.951229 t=66286
bi ru 	比如	c=8 d=3.569 t=66286
bi ru shuo 	比如說	c=2 d=0.822835 t=66286
bi she 	畢設	c=4 d=3.18746e-70 t=66286
bi sheng ke 	必勝客	c=1 d=6.41219e-67 t=66286
bi shi 	筆試	c=1 d=1.66212e-07 t=66286
bi ta 	比他	c=0 d=3.27671e-52 t=66286
bi ta 	比它	c=1 d=7.90923e-65 t=66286
bi te 	比特	c=1 d=0.0923116 t=66286
bi te wa deng 	比特瓦登	c=1 d=0.927743 t=66286
bi tian 	必填	c=1 d=0.571209 t=66286
bi wo 	比我	c=1 d=0.00802655 t=66286
bi wo hao 	比我好	c=0 d=0.000120654 t=66286
bi xu 	必需	c=3 d=1.18405 t=66286
bi xu 	必須	c=23 d=1.44502 t=66286
bi xu yong 	必須用	c=1 d=0.571209 t=66286
bi xu you 	必须有	c=1 d=1.21144e-80 t=66286
bi yan 	閉眼	c=0 d=4.35576e-48 t=66286
bi yan shui le 	閉眼睡了	c=1 d=4.37759e-47 t=66286
bi yao 	必要	c=3 d=0.618783 t=66286
bi yao xing 	必要性	c=2 d=0.847894 t=66286
bi ye 	畢業	c=25 d=2.33574 t=66286
bi ye dian li 	畢業典禮	c=1 d=3.65076e-58 t=66286
bi ye hou 	畢業後	c=1 d=6.03711e-05 t=66286
bi ye le 	畢業了	c=1 d=9.24187e-44 t=66286
bi ye she ji 	畢業設計	c=3 d=2.13737e-70 t=66286
bi ye shi jian 	畢業時間	c=1 d=1.86558e-42 t=66286
bi ye wan hui 	畢業晚會	c=1 d=1.31305e-57 t=66286
bi ye zhao 	畢業照	c=1 d=3.00397e-58 t=66286
bi ye zheng 	畢業證	c=4 d=5.05313e-58 t=66286
bi yi qian 	比以前	c=1 d=0.00280879 t=66286
bi yu 	避雨	c=4 d=0.29523 t=66286
bi yun tao 	避孕套	c=1 d=0.909373 t=66286
bi zan 	比咱	c=2 d=1.13488 t=66286
bi zhi 	壁紙	c=8 d=2.62932 t=66286
bi zhi 	筆直	c=0 d=0.0810584 t=66286
